ID,URI,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,MODELO
7244198,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7244198,APARCABICICLETAS,214,TIMON,21,BARAJAS,OPERATIVO,447890.9,4481513.57,ETRS89,40.48267869,-3.61481379,AVENIDA,LAS FUERZAS ARMADAS,322,28055,DESCONOCIDO,31039860,2020-11-19T00:00:00Z,DESCONOCIDO,MU21,MU-51
7245387,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7245387,APARCABICICLETAS,205,ROSAS,20,SAN BLAS - CANILLEJAS,OPERATIVO,448289.55,4475994.52,ETRS89,40.43298483,-3.60966094,CALLE,MARIA SEVILLA DIAGO,12,28022,DESCONOCIDO,11136329,2020-11-19T00:00:00Z,DESCONOCIDO,MU21,MU-51
7245747,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7245747,APARCABICICLETAS,211,ALAMEDA DE OSUNA,21,BARAJAS,OPERATIVO,449023.86,4477924.58,ETRS89,40.45041733,-3.60115883,AVENIDA,AMERICA,115 F,28042,DESCONOCIDO,31048826,2020-11-19T00:00:00Z,DESCONOCIDO,MU21,MU-51
7245782,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7245782,APARCABICICLETAS,211,ALAMEDA DE OSUNA,21,BARAJAS,OPERATIVO,449025.85,4477925.11,ETRS89,40.45042223,-3.6011354,AVENIDA,AMERICA,115 F,28042,DESCONOCIDO,31048826,2020-11-19T00:00:00Z,DESCONOCIDO,MU21,MU-51
7246494,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7246494,APARCABICICLETAS,86,VALVERDE,8,FUENCARRAL - EL PARDO,OPERATIVO,440993.35,4482110.12,ETRS89,40.48759111,-3.6962453,CALLE,ALFREDO MARQUERIE,9,28034,DESCONOCIDO,11045881,2020-11-18T00:00:00Z,DESCONOCIDO,MU21,MU-51
5898042,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/5898042,APARCABICICLETAS,133,PALOMERAS BAJAS,13,PUENTE DE VALLECAS,OPERATIVO,444035.98,4471150.87,ETRS89,40.38907518,-3.65938104,AVENIDA,PALOMERAS,7,28018,DESCONOCIDO,11095585,2020-02-19T00:00:00Z,DESCONOCIDO,MU21,MU-51
5898047,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/5898047,APARCABICICLETAS,133,PALOMERAS BAJAS,13,PUENTE DE VALLECAS,OPERATIVO,444036.15,4471149.76,ETRS89,40.38906519,-3.65937894,AVENIDA,PARQUE DE PALOMERAS BAJAS,7,28018,DESCONOCIDO,20082026,2020-02-19T00:00:00Z,DESCONOCIDO,MU21,MU-51
7209467,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7209467,APARCABICICLETAS,117,ABRANTES,11,CARABANCHEL,OPERATIVO,438629.57,4470662.63,ETRS89,40.38429613,-3.72302898,AVENIDA,ABRANTES,15,28025,DESCONOCIDO,31000539,1900-01-01T00:00:00Z,DESCONOCIDO,MU21,MU-51
7179162,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7179162,APARCABICICLETAS,76,VALLEHERMOSO,7,CHAMBERI,OPERATIVO,440017.78,4476950.7,ETRS89,40.44104313,-3.70726797,AVENIDA,FILIPINAS,42,28003,28003,11042496,2020-09-30T00:00:00Z,DESCONOCIDO,MU21,MU-51
7179168,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7179168,APARCABICICLETAS,76,VALLEHERMOSO,7,CHAMBERI,OPERATIVO,440023.06,4476953.66,ETRS89,40.44107017,-3.70720599,AVENIDA,FILIPINAS,42,28003,28003,11042496,2020-09-30T00:00:00Z,DESCONOCIDO,MU21,MU-51
7179521,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7179521,APARCABICICLETAS,15,UNIVERSIDAD,1,CENTRO,OPERATIVO,439813.89,4475589.95,ETRS89,40.42877017,-3.70954305,CALLE,CONDE DUQUE,40,28015,28015,11006470,2020-01-10T00:00:00Z,DESCONOCIDO,MU21,MU-51
7179526,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7179526,APARCABICICLETAS,15,UNIVERSIDAD,1,CENTRO,OPERATIVO,439804.33,4475571.93,ETRS89,40.42860715,-3.70965404,CALLE,CONDE DUQUE,11 E,28015,28015,31044314,2020-01-10T00:00:00Z,DESCONOCIDO,MU21,MU-51
7179527,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7179527,APARCABICICLETAS,15,UNIVERSIDAD,1,CENTRO,OPERATIVO,439805.35,4475571.81,ETRS89,40.42860614,-3.709642,CALLE,CONDE DUQUE,40,28015,28015,11006470,2020-01-10T00:00:00Z,DESCONOCIDO,MU21,MU-51
7179530,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7179530,APARCABICICLETAS,15,UNIVERSIDAD,1,CENTRO,OPERATIVO,439801.42,4475494.14,ETRS89,40.42790617,-3.70968098,CALLE,MONTSERRAT,32,28015,28015,11006409,2020-01-10T00:00:00Z,DESCONOCIDO,MU21,MU-51
