Id_Cam_Seguretat,Codi_Cam_Seguretat,Tipus_Cam_Seguretat,Num_Cam_Seguretat,Codi_Suport,Codi_Districte,Nom_Districte,same_as_wikidata_distrito,Codi_Barri,Nom_Barri,same_as_wikidata_barrio,X_ETRS89,Y_ETRS89,Longitud,Latitud,Data_Alta
417924,CIM,Càmera mòbil,84,Mastil,4,Les Corts,https://www.wikidata.org/entity/Q959944,19,Les Corts,https://www.wikidata.org/entity/Q3296693,427986950,4582558968,2.138626,41.3913404,"2010-05-26T00:00:00Z"
434340,CIM,Càmera mòbil,31,Mastil,3,Sants-Montjuïc,https://www.wikidata.org/entity/Q753075,16,La Bordeta,https://www.wikidata.org/entity/Q3753110,427731172,4579631544,2.1359159,41.364951,"2011-02-18T00:00:00Z"
434347,CIF,Càmera fixa,126,Mastil,10,Sant Martí,https://www.wikidata.org/entity/Q250935,66,El Parc i la Llacuna del Poblenou,https://www.wikidata.org/entity/Q3294440,432226842,4582698436,2.1893202,41.3929651,"2011-02-18T00:00:00Z"
434351,CIF,Càmera fixa,128,Mastil,1,Ciutat Vella,https://www.wikidata.org/entity/Q941385,3,La Barceloneta,https://www.wikidata.org/entity/Q377070,431955281,4581485310,2.1862085,41.3820162,"2011-02-18T00:00:00Z"
434354,CIM,Càmera mòbil,27,Mastil,1,Ciutat Vella,https://www.wikidata.org/entity/Q941385,3,La Barceloneta,https://www.wikidata.org/entity/Q377070,431955281,4581485310,2.1862085,41.3820162,"2011-02-18T00:00:00Z"
434371,DOMO,Càmera mòbil,25,Mastil,1,Ciutat Vella,https://www.wikidata.org/entity/Q941385,1,El Raval,https://www.wikidata.org/entity/Q1758503,431145643,4580652274,2.1766211,41.3744441,"2011-02-18T00:00:00Z"
434389,DOMO,Càmera mòbil,23,Mastil,2,Eixample,https://www.wikidata.org/entity/Q64124,8,L'Antiga Esquerra de l'Eixample,https://www.wikidata.org/entity/Q3291762,428784868,4582393436,2.1481886,41.389921,"2011-02-18T00:00:00Z"
435205,DOMO,Càmera mòbil,54,Mastil,2,Eixample,https://www.wikidata.org/entity/Q64124,7,Dreta de l'Eixample,https://www.wikidata.org/entity/Q1904302,430591036,4582159125,2.169817,41.3879686,"2011-03-04T00:00:00Z"
435220,CIF,Càmera fixa,116,Mastil,7,Horta-Guinardó,https://www.wikidata.org/entity/Q1771488,36,La Font d'en Fargues,https://www.wikidata.org/entity/Q3297889,429699471,4586136888,2.1586924,41.4237173,"2011-03-04T00:00:00Z"
435228,CIM,Càmera mòbil,60,Mastil,2,Eixample,https://www.wikidata.org/entity/Q64124,10,Sant Antoni,https://www.wikidata.org/entity/Q720994,430440455,4580704756,2.168183,41.3748557,"2011-03-04T00:00:00Z"
435230,CIM,Càmera mòbil,99,Mastil,2,Eixample,https://www.wikidata.org/entity/Q64124,7,Dreta de l'Eixample,https://www.wikidata.org/entity/Q1904302,430775038,4583232962,2.1718949,41.3976554,"2011-03-04T00:00:00Z"
