Año,Mes,same_as_wikidata_month,Lote,Residuo,Distrito,Nombre distrito,same_as_wikidata_distrito,Total,ID
2024,January,https://wikidata.org/entity/Q108,1,Rcd,6,Tetuán,https://wikidata.org/entity/Q1773540,37.89,"2024-Enero-6-1-Rcd"
2024,January,https://wikidata.org/entity/Q108,1,Rcd,7,Chamberí,https://wikidata.org/entity/Q1763370,50.76,"2024-Enero-7-1-Rcd"
2024,January,https://wikidata.org/entity/Q108,1,Rcd,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,114.235,"2024-Enero-8-1-Rcd"
2024,January,https://wikidata.org/entity/Q108,1,Rcd,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,63.11,"2024-Enero-9-1-Rcd"
2024,January,https://wikidata.org/entity/Q108,1,Rcd,10,Latina,https://wikidata.org/entity/Q794954,45.02,"2024-Enero-10-1-Rcd"
2024,January,https://wikidata.org/entity/Q108,1,Resto,1,Centro,https://wikidata.org/entity/Q1763376,3269.58,"2024-Enero-1-1-Resto"
2024,January,https://wikidata.org/entity/Q108,1,Resto,6,Tetuán,https://wikidata.org/entity/Q1773540,2254.18,"2024-Enero-6-1-Resto"
2024,January,https://wikidata.org/entity/Q108,1,Resto,7,Chamberí,https://wikidata.org/entity/Q1763370,1718.48,"2024-Enero-7-1-Resto"
2024,January,https://wikidata.org/entity/Q108,1,Resto,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,3206.3,"2024-Enero-8-1-Resto"
2024,January,https://wikidata.org/entity/Q108,1,Resto,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,2087.24,"2024-Enero-9-1-Resto"
2024,January,https://wikidata.org/entity/Q108,1,Resto,10,Latina,https://wikidata.org/entity/Q794954,3101.58,"2024-Enero-10-1-Resto"
2024,January,https://wikidata.org/entity/Q108,1,Ropa,1,Centro,https://wikidata.org/entity/Q1763376,19.75,"2024-Enero-1-1-Ropa"
2024,January,https://wikidata.org/entity/Q108,1,Ropa,6,Tetuán,https://wikidata.org/entity/Q1773540,11.395,"2024-Enero-6-1-Ropa"
2024,January,https://wikidata.org/entity/Q108,1,Ropa,7,Chamberí,https://wikidata.org/entity/Q1763370,23.15,"2024-Enero-7-1-Ropa"
2024,January,https://wikidata.org/entity/Q108,1,Ropa,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,15.88,"2024-Enero-8-1-Ropa"
2024,January,https://wikidata.org/entity/Q108,1,Ropa,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,11.205,"2024-Enero-9-1-Ropa"
2024,January,https://wikidata.org/entity/Q108,1,Ropa,10,Latina,https://wikidata.org/entity/Q794954,27.885,"2024-Enero-10-1-Ropa"
2024,January,https://wikidata.org/entity/Q108,1,Vidrio,1,Centro,https://wikidata.org/entity/Q1763376,659.36,"2024-Enero-1-1-Vidrio"
2024,January,https://wikidata.org/entity/Q108,1,Vidrio,6,Tetuán,https://wikidata.org/entity/Q1773540,343.08,"2024-Enero-6-1-Vidrio"
2024,January,https://wikidata.org/entity/Q108,1,Vidrio,7,Chamberí,https://wikidata.org/entity/Q1763370,350.4,"2024-Enero-7-1-Vidrio"
2024,January,https://wikidata.org/entity/Q108,1,Vidrio,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,254.8,"2024-Enero-8-1-Vidrio"
2024,January,https://wikidata.org/entity/Q108,1,Vidrio,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,354.42,"2024-Enero-9-1-Vidrio"
2024,January,https://wikidata.org/entity/Q108,1,Vidrio,10,Latina,https://wikidata.org/entity/Q794954,281.54,"2024-Enero-10-1-Vidrio"
2024,January,https://wikidata.org/entity/Q108,1,Vidrio Comercial,1,Centro,https://wikidata.org/entity/Q1763376,113.18,"2024-Enero-1-1-Vidrio Comercial"
2024,January,https://wikidata.org/entity/Q108,2,Carton Comercial,3,Retiro,https://wikidata.org/entity/Q2002296,48.26,"2024-Enero-3-2-Carton Comercial"
2024,January,https://wikidata.org/entity/Q108,2,Carton Comercial,4,Salamanca,https://wikidata.org/entity/Q1773521,64.48,"2024-Enero-4-2-Carton Comercial"
2024,January,https://wikidata.org/entity/Q108,2,Carton Comercial,5,Chamartín,https://wikidata.org/entity/Q1766348,78.3,"2024-Enero-5-2-Carton Comercial"
2024,January,https://wikidata.org/entity/Q108,2,Carton Comercial,14,Moratalaz,https://wikidata.org/entity/Q2076109,29.78,"2024-Enero-14-2-Carton Comercial"
2024,January,https://wikidata.org/entity/Q108,2,Carton Comercial,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,50.52,"2024-Enero-15-2-Carton Comercial"
2024,January,https://wikidata.org/entity/Q108,2,Carton Comercial,16,Hortaleza,https://wikidata.org/entity/Q1928529,55.02,"2024-Enero-16-2-Carton Comercial"
