Distrito,same_as_wikidata_distrito,Apartado,Número de archivo,Denominación,Situación
Chamartín,https://wikidata.org/entity/Q1766348,INSTALACIONES DE RESTAURACIÓN,12033,QUIOSCO PERMANENTE DE BEBIDAS Y COMIDAS,CHAMARTÍN
Chamartín,https://wikidata.org/entity/Q1766348,INSTALACIONES DE RESTAURACIÓN,12078,QUIOSCO DE BEBIDAS Y COMIDAS SITUADO EN LA CALLE PADRE CLARET,CHAMARTÍN
Chamartín,https://wikidata.org/entity/Q1766348,INSTALACIONES DE RESTAURACIÓN,12079,QUIOSCO PERMANENTE DE BEBIDAS Y COMIDAS SITUADO EN LA CALLE FEDERICO SALMÓN,CHAMARTÍN
Chamartín,https://wikidata.org/entity/Q1766348,INSTALACIONES DE RESTAURACIÓN,12083,QUIOSCO PERMANENTE DE COMIDAS Y BEBIDAS,CHAMARTÍN
Chamartín,https://wikidata.org/entity/Q1766348,INSTALACIONES DE RESTAURACIÓN,12169,QUIOSCO DE TEMPORADA DE BEBIDAS,CHAMARTÍN
Chamartín,https://wikidata.org/entity/Q1766348,INSTALACIONES DEPORTIVAS,13003,INSTALACIÓN DEPORTIVA BÁSICA,CHAMARTÍN
Chamartín,https://wikidata.org/entity/Q1766348,HUERTOS URBANOS,12107,HUERTO COMUNITARIO 40 FANEGAS,CHAMARTÍN
Chamartín,https://wikidata.org/entity/Q1766348,HUERTOS URBANOS,12108,HUERTO COMUNITARIO TÓMATELO CON CALMA,CHAMARTÍN
Chamartín,https://wikidata.org/entity/Q1766348,HUERTOS URBANOS,12120,HUERTO COMUNITARIO LA GAUDAZNI,CHAMARTÍN
Tetuán,https://wikidata.org/entity/Q1773540,OTRAS CONCESIONES Y AUTORIZACIONES,15034,Centro de transformación eléctrica,TETUÁN
Tetuán,https://wikidata.org/entity/Q1773540,HUERTOS URBANOS,12109,HUERTO COMUNITARIO ZULOAGA,TETUÁN
Chamberí,https://wikidata.org/entity/Q1763370,INSTALACIONES DE RESTAURACIÓN,12044,QUIOSCO DE BEBIDAS,CHAMBERÍ
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,INSTALACIONES DE RESTAURACIÓN,12049,Edificio de restauración Mc Donald's,FUENCARRAL-EL PARDO
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,INSTALACIONES DE RESTAURACIÓN,12063,"QUIOSCO A, BAR RESTAURANTE",FUENCARRAL-EL PARDO
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,INSTALACIONES DE RESTAURACIÓN,12064,QUIOSCO B CAFETERÍA RESTAURACIÓN RÁPIDA,FUENCARRAL-EL PARDO
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OTRAS CONCESIONES Y AUTORIZACIONES,15006,INMUEBLE,FINCA MUNICIPAL FUENCARRAL-EL PARDO
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OTRAS CONCESIONES Y AUTORIZACIONES,15017,INMUEBLE,FUENCARRAL-EL PARDO
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OTRAS CONCESIONES Y AUTORIZACIONES,15018,SUBESTACIÓN ELÉCTRICA PROVISIONAL,FUENCARRAL-EL PARDO
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,OTRAS CONCESIONES Y AUTORIZACIONES,15035,ESTACIÓN DE GAS NATURAL EN SUBSUELO,FUENCARRAL-EL PARDO
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,HUERTOS URBANOS,12110,HUERTO COMUNITARIO MONTECARMELO,FUENCARRAL-EL PARDO
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,HUERTOS URBANOS,12111,HUERTO COMUNITARIO MONTECARMELO II,FUENCARRAL-EL PARDO
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,HUERTOS URBANOS,12112,HUERTO COMUNITARIO FUENTE DE LA CARRA,FUENCARRAL-EL PARDO
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,HUERTOS URBANOS,12113,HUERTO COMUNITARIO HUERKARRAL,FUENCARRAL-EL PARDO
Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,HUERTOS URBANOS,12114,HUERTO COMUNITARIO TABLAO DE LA COMPOSTURA,FUENCARRAL-EL PARDO
