Distrito;Subepígrafe;Apartado;Número de archivo;Denominación;Situación
CARABANCHEL                                                 ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.128;HUERTO COMUNITARIO EL PINAR DE CARABANCHEL                                                                                                                                                                ; CARABANCHEL
CARABANCHEL                                                 ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.129;HUERTO COMUNITARIO PARQUE DE COMILLAS                                                                                                                                                                     ; CARABANCHEL
CARABANCHEL                                                 ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.130;HUERTO COMUNITARIO PARQUE EUGENIA DE MONTIJO                                                                                                                                                              ; CARABANCHEL
CARABANCHEL                                                 ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.131;HUERTO COMUNITARIO OPAÑEL-JARDÍN DE LIBROS NÓMADAS                                                                                                                                                        ; CARABANCHEL
USERA                                                       ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12056;MADRID RÍO-GRUPO SUR 1. CAFÉ-BAR SAN ZACARÍAS                                                                                                                                                             ;A LA ALTURA DE C/ SAN ZACARÍAS. USERA
USERA                                                       ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12.084;QUIOSCO PERMANENTE DE HOSTELERÍA Y RESTAURACIÓN                                                                                                                                                           ; USERA
USERA                                                       ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12.094;MADRID RÍO CAFÉ PRINCESA-SAN ZACARÍAS                                                                                                                                                                     ; USERA
USERA                                                       ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DEPORTIVAS                                                                            ;13013;INSTALACIÓN DEPORTIVA BÁSICA DAVID GONZÁLEZ RUBIO                                                                                                                                                         ; USERA
USERA                                                       ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DEPORTIVAS                                                                            ;13014;INSTALACIÓN DEPORTIVA BÁSICA MARIS STELA                                                                                                                                                                  ; USERA
USERA                                                       ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DEPORTIVAS                                                                            ;13.019; IDB ZOFÍO                                                                                                                                                                                                ; USERA
USERA                                                       ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DEPORTIVAS                                                                            ;12.086;LÁMINA DE AGUA Y ZONA DEL EMBARCADERO DEL ESTANQUE DE PRADOLONGO Y ZONA DE ALMACÉN Y VESTUARIOS CEAC                                                                                                      ; USERA
USERA                                                       ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.132;HUERTO COMUNITARIO SAN FERMÍN                                                                                                                                                                             ; USERA
USERA                                                       ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.133;HUERTO COMUNITARIO PACHAMAMA                                                                                                                                                                              ; USERA
USERA                                                       ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.134;HUERTO COMUNITARIO HALCÓN PRADOLONGO                                                                                                                                                                      ; USERA
PUENTE DE VALLECAS                                          ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12.065;"QUIOSCO DE BEBIDAS PERMANENTE ""EL MIRADOR""                                                                                                                                                                "; PUENTE DE VALLECAS
PUENTE DE VALLECAS                                          ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12.066;"QUIOSCO DE BEBIDAS PERMANENTE ""LOS ARBOLITOS""                                                                                                                                                             "; PUENTE DE VALLECAS
PUENTE DE VALLECAS                                          ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DEPORTIVAS                                                                            ;13012;INSTALACIÓN DEPORTIVA BÁSICA CERRO CABEZUELO                                                                                                                                                              ; PUENTE DE VALLECAS
PUENTE DE VALLECAS                                          ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DEPORTIVAS                                                                            ;12.085;AUTORIZACIÓN DE USO INSTALACIÓN DEPORTIVA BÁSICA PARQUE LINEAL DEL MANZANARES                                                                                                                             ; PUENTE DE VALLECAS
PUENTE DE VALLECAS                                          ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DEPORTIVAS                                                                            ;12.168;IDB PALOMERAS BAJAS                                                                                                                                                                                       ; PUENTE DE VALLECAS
PUENTE DE VALLECAS                                          ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15036;CENTRO DE REFLEXIÓN 153R                                                                                                                                                                                  ;GARRIGUES WALKER. PUENTE DE VALLECAS
PUENTE DE VALLECAS                                          ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.135;HUERTO COMUNITARIO SANTA CATALINA                                                                                                                                                                         ; PUENTE DE VALLECAS
MORATALAZ                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12.068;QUIOSCO DE BEBIDAS EN EL PARQUE FUENTE CARRANTONA                                                                                                                                                         ; MORATALAZ
MORATALAZ                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15004;MODULO A DEL PARQUE DARWIN                                                                                                                                                                                ; MORATALAZ
MORATALAZ                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15008;CENTRO DE TRANSFORMACIÓN ELÉCTRICA                                                                                                                                                                        ; MORATALAZ
MORATALAZ                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15009;CENTRO DE TRANSFORMACIÓN ELÉCTRICA                                                                                                                                                                        ; MORATALAZ
MORATALAZ                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15010;CENTRO DE TRANSFORMACIÓN ELÉCTRICA                                                                                                                                                                        ; MORATALAZ
MORATALAZ                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15016;CENTRO DE TRANSFORMACIÓN ELÉCTRICA                                                                                                                                                                        ; MORATALAZ
MORATALAZ                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.136;HUERTO COMUNITARIO SIGLO XXI                                                                                                                                                                              ; MORATALAZ
MORATALAZ                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.137;HUERTO COMUNITARIO CUÑA VERDE DE MORATALAZ II                                                                                                                                                             ; MORATALAZ
MORATALAZ                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.138;HUERTO COMUNITARIO PAVONES                                                                                                                                                                                ; MORATALAZ
CIUDAD LINEAL                                               ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.139;HUERTO COMUNITARIO MAGERIT                                                                                                                                                                                ; CIUDAD LINEAL
CIUDAD LINEAL                                               ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.140;HUERTO COMUNITARIO LA ELIPA                                                                                                                                                                               ; CIUDAD LINEAL
HORTALEZA                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12036;QUIOSCO DE BEBIDAS                                                                                                                                                                                        ; HORTALEZA
HORTALEZA                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;                                                  ;QUIOSCO DE BEBIDAS SITUADO EN EL PARQUE PINAR DEL REY                                                                                                                                                     ; HORTALEZA
HORTALEZA                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DEPORTIVAS                                                                            ;13008;INSTALACIÓN DEPORTIVA DE RUGBY                                                                                                                                                                            ; HORTALEZA
HORTALEZA                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DEPORTIVAS                                                                            ;13009;INSTALACIÓN DEPORTIVA DE PÁDEL                                                                                                                                                                            ; HORTALEZA
HORTALEZA                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.141;HUERTO COMUNITARIO MANOTERAS                                                                                                                                                                              ; HORTALEZA
HORTALEZA                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.142;HUERTO COMUNITARIO LAS CÁRCAVAS                                                                                                                                                                           ; HORTALEZA
HORTALEZA                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.143;HUERTO COMUNITARIO KUPINA MORERA                                                                                                                                                                          ; HORTALEZA
HORTALEZA                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.144;HUERTO COMUNITARIO VILLA ROSA                                                                                                                                                                             ; HORTALEZA
HORTALEZA                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.145;HUERTO COMUNITARIO HUERTO DEL MAR                                                                                                                                                                         ; HORTALEZA
VILLAVERDE                                                  ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15.045;CENTRO DE TRANSFORMACIÓN ELÉCTRICA                                                                                                                                                                        ; VILLAVERDE
VILLAVERDE                                                  ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15.046;CENTRO DE TRANSFORMACIÓN ELÉCTRICA                                                                                                                                                                        ; VILLAVERDE
VILLAVERDE                                                  ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.146;HUERTO COMUNITARIO LADIS                                                                                                                                                                                  ; VILLAVERDE
VILLAVERDE                                                  ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.147;HUERTO COMUNITARIO BUTARQUE                                                                                                                                                                               ; VILLAVERDE
VILLAVERDE                                                  ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.148;HUERTO COMUNITARIO EL CRUCE                                                                                                                                                                               ; VILLAVERDE
VILLAVERDE                                                  ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.149;HUERTO COMUNITARIO LOS PINOS                                                                                                                                                                              ; VILLAVERDE
VILLAVERDE                                                  ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.150;HUERTO COMUNITARIO EL BUEN SAMARITANO                                                                                                                                                                     ; VILLAVERDE
VILLA DE VALLECAS                                           ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12.062;BAR DE VERANO                                                                                                                                                                                             ; VILLA DE VALLECAS
VILLA DE VALLECAS                                           ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12.067;QUIOSCO DE HOSTELERÍA Y RESTAURACION. PARQUE CONGOSTO                                                                                                                                                     ; VILLA DE VALLECAS
VILLA DE VALLECAS                                           ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DEPORTIVAS                                                                            ;15003;IDB CIRCUITO DE AUTOMODELISMO                                                                                                                                                                             ; VILLA DE VALLECAS
VILLA DE VALLECAS                                           ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15.044;CENTRO DE TRANSFORMACIÓN 4509                                                                                                                                                                             ; VILLA DE VALLECAS
VILLA DE VALLECAS                                           ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.151;HUERTO COMUNITARIO HUERTA EUGENIA                                                                                                                                                                         ; VILLA DE VALLECAS
VILLA DE VALLECAS                                           ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.152;HUERTO COMUNITARIO DE LA VILLA                                                                                                                                                                            ; VILLA DE VALLECAS
VILLA DE VALLECAS                                           ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.153;HUERTO COMUNITARIO QUIJOTES CON AZADAS                                                                                                                                                                    ; VILLA DE VALLECAS
VILLA DE VALLECAS                                           ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.154;HUERTO COMUNITARIO JOSÉ COUSO                                                                                                                                                                             ; VILLA DE VALLECAS
VICÁLVARO                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DEPORTIVAS                                                                            ;13.017;GESTIÓN Y DINAMIZACIÓN IDBs CORDEL DE PAVONES Y LA VICALVARADA                                                                                                                                            ; VICÁLVARO
VICÁLVARO                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15020;CENTRO DE TRANSFORMACIÓN                                                                                                                                                                                  ; VICÁLVARO
VICÁLVARO                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15026;CENTRO DE TRANSFORMACIÓN SUBTERRÁNEO CT 4352                                                                                                                                                              ; VICÁLVARO
VICÁLVARO                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15027;CENTRO DE TRANSFORMACIÓN SUBTERRÁNEO CT 4351                                                                                                                                                              ; VICÁLVARO
VICÁLVARO                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15028;CENTRO DE TRANSFORMACIÓN SUBTERRÁNEO CT 4350                                                                                                                                                              ; VICÁLVARO
VICÁLVARO                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15029;CENTRO DE TRANSFORMACIÓN SUBTERRÁNEO CT 4349                                                                                                                                                              ; VICÁLVARO
VICÁLVARO                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15030;CENTRO DE TRANSFORMACIÓN SUBTERRÁNEO CT 4244                                                                                                                                                              ; VICÁLVARO
VICÁLVARO                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15031;CENTRO DE TRANSFORMACIÓN SUBTERRÁNEO CT 4307                                                                                                                                                              ; VICÁLVARO
VICÁLVARO                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15032;CENTRO DE TRANSFORMACIÓN SUBTERRÁNEO CT 146R                                                                                                                                                              ; VICÁLVARO
VICÁLVARO                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.155;HUERTO COMUNITARIO VICÁLVARO I                                                                                                                                                                            ; VICÁLVARO
VICÁLVARO                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.156;HUERTO COMUNITARIO VICÁLVARO II                                                                                                                                                                           ; VICÁLVARO
VICÁLVARO                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.157;HUERTO COMUNITARIO LA VICALVARADA                                                                                                                                                                         ; VICÁLVARO
SAN BLAS-CANILLEJAS                                         ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15011;CENTRO DE TRANSFORMACIÓN ELÉCTRICA                                                                                                                                                                        ; SAN BLAS-CANILLEJAS
SAN BLAS-CANILLEJAS                                         ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15012;CENTRO DE TRANSFORMACIÓN ELÉCTRICA                                                                                                                                                                        ; SAN BLAS-CANILLEJAS
SAN BLAS-CANILLEJAS                                         ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15013;CENTRO DE TRANSFORMACIÓN ELÉCTRICA                                                                                                                                                                        ; SAN BLAS-CANILLEJAS
SAN BLAS-CANILLEJAS                                         ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15033;ESTACIÓN BASE DE TELEFONÍA MÓVIL                                                                                                                                                                          ; SAN BLAS-CANILLEJAS
SAN BLAS-CANILLEJAS                                         ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.158;HUERTO COMUNITARIO QUINTA DE LOS MOLINOS                                                                                                                                                                  ; SAN BLAS-CANILLEJAS
SAN BLAS-CANILLEJAS                                         ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.159;HUERTO COMUNITARIO EL PARAÍSO                                                                                                                                                                             ; SAN BLAS-CANILLEJAS
SAN BLAS-CANILLEJAS                                         ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.160;HUERTO COMUNITARIO RAÍZ CUADRADA                                                                                                                                                                          ; SAN BLAS-CANILLEJAS
SAN BLAS-CANILLEJAS                                         ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.161;HUERTO COMUNITARIO EL HUERTUCO                                                                                                                                                                            ; SAN BLAS-CANILLEJAS
BARAJAS                                                     ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.162;HUERTO COMUNITARIO LA ALAMEDA DE OSUNA                                                                                                                                                                    ; BARAJAS
