Distrito;Subepígrafe;Apartado;Número de archivo;Denominación;Situación
RETIRO                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12.075;BAR MIRADOR EN EL SITUADO Nº 10 DEL PARQUE EL RETIRO FRENTE A LA GRUTA Y JUNTO AL                                                                                                                         ; RETIRO
RETIRO                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12.076;BAR MIRADOR EN EL SITUADO Nº 12  DEL PARQUE EL RETIRO FRENTE AL PALACIO DE EXPOSIC                                                                                                                        ; RETIRO
RETIRO                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12163;BAR-MIRADOR Nº 1                                                                                                                                                                                          ; RETIRO
RETIRO                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12164;BAR-MIRADOR Nº 3                                                                                                                                                                                          ; RETIRO
RETIRO                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12165;BAR-MIRADOR Nº 4                                                                                                                                                                                          ; RETIRO
RETIRO                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12166;BAR-MIRADOR Nº 6                                                                                                                                                                                          ; RETIRO
RETIRO                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12167;BAR-MIRADOR Nº 7                                                                                                                                                                                          ; RETIRO
RETIRO                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES PARA USOS CULTURALES Y RECREATIVOS                                                    ;14000;PASEOS EN BARCO SOLAR POR  ESTANQUE DEL RETIRO                                                                                                                                                            ; RETIRO
RETIRO                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15005;TEATRO PERMANENTE DE TITERES                                                                                                                                                                              ; RETIRO
RETIRO                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.105;HUERTO COMUNITARIO ADELFAS                                                                                                                                                                                ; RETIRO
SALAMANCA                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DEPORTIVAS                                                                            ;13011;INSTALACIÓN DEPORTIVA BÁSICA EVA DUARTE                                                                                                                                                                   ; SALAMANCA
SALAMANCA                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15019;CENTRO DE TRANSFORMACIÓN ELÉCTRICA PREFABRICADO Y SUBTERRÁNEO                                                                                                                                             ;A LA ALTURA C/FLORESTÁN AGUILAR S/N(SUBSUELO). SALAMANCA
SALAMANCA                                                   ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;15.042;CENTRO DE TRANSFORMACIÓN PREFABRICADO Y SUBTERRÁNEO                                                                                                                                                       ; SALAMANCA
