PK,NOMBRE,HORARIO,DESCRIPCION,NOMBRE_CALLE,NUM,BARRIO,DISTRITO
13479,Aparcamiento mixto. José Castán Tobeñas,,Plazas: 226 públicas y 43 para residentes  Información sobre accesibilidad:  No tiene escaleras adaptadas No disponde ascensor No disponde de aseos accesible Plazas para minusválidos residentes: 5    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid,CALLE POETA JOAN MARAGALL,57,CASTILLEJOS,TETUAN
6143690,Aparcamiento mixto. Marqués de Salamanca,,Plazas: 356 públicas y 70 para residentes  Información sobre accesibilidad:   No tiene escaleras adaptadas 1 ascensor en la salida a la plaza del Marqués de Salamanca 1 aseo accesible en 2&amp;ordf;  planta Plaza para minusválidos residentes: 14   Abierto 24 horas   Titularidad: Ayuntamiento de Madrid,PLAZA MARQUES DE SALAMANCA,,CASTELLANA,SALAMANCA
182188,Aparcamiento mixto. Miguel Yuste,,Plazas: 168  públicas y 68 para residentes Abierto: 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid,CALLE MIGUEL YUSTE,64,SIMANCAS,SAN BLAS-CANILLEJAS
13465,Aparcamiento mixto. Montalbán,,Plazas:   146 Residenciales 130 Rotacionales    Abierto 24 horas    Titularidad:  Ayuntamiento de Madrid   Gestión: Empresa Municipal de Transportes (EMT) (más información),CALLE MONTALBAN,4,LOS JERONIMOS,RETIRO
5517342,Aparcamiento mixto. Orense,,Plazas: 129 públicas y 663 para residentes  Información sobre accesibilidad:  1 escalera adaptada No dispone de ascensor 1 aseo accesible Plaza para minusválidos residentes: 5    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid  Gestión: Empresa Municipal de Transportes (EMT) (más información),AVENIDA BRASIL,2,CUATRO CAMINOS,TETUAN
52114,Aparcamiento mixto. Pedro Zerolo 'antes denominado Vázquez de Mella',,Plazas: 107 públicas y 261 para residentes.  Plazas motos: 6.  Información sobre accesibilidad:  No tiene escaleras adaptadas 1 ascensor con salida a la Plaza de Vazquez de Mella 1 aseo accesible Plaza para minusválidos residentes: 7    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid  Gestión: Empresa Municipal de Transportes (EMT) (más información)  Teléfonos: Residentes - 91 522 50 29          Rotacional -  91 532 19 10,PLAZA PEDRO ZEROLO,1,JUSTICIA,CENTRO
33440,Aparcamiento mixto. Plaza de Oriente,,Plazas: 242 públicas rotacionales (30 plazas para autobuses) y 511 para residentes Abierto 24 horas Admite Tarjeta BonoRed Este PAR está adherido a la zona de APR  Titularidad: Ayuntamiento de Madrid,PLAZA ORIENTE,9,PALACIO,CENTRO
11544439,Aparcamiento mixto. Plaza de Santo Domingo,,"Plazas Totales: 320 plazas,  Plazas motos: 16.",PLAZA SANTO DOMINGO,,PALACIO,CENTRO
13466,Aparcamiento mixto. Plaza Mayor,,Plazas: 694  279 Residenciales 415 Rotacionales  Abierto 24 horas  Titularidad : Ayuntamiento de Madrid    Gálibo: 1'85 m,PLAZA MAYOR,1,SOL,CENTRO
36271,Aparcamiento mixto. Presidente Carmona,De Lunes A Domingo Servicio Ininterrumpido,Plazas: 127 públicas y 379 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid  Teléfono: 91 556 62 26,AVENIDA GENERAL PERON,21,CUATRO CAMINOS,TETUAN
