ID,NAME,SCHEDULE,STREET_NAME,same_as_wikidata_street_name,STRET_NUMBER,NEIGHBOURHOOD,same_as_wikidata_neighbourhood,DISTRICT,same_as_wikidata_district,VEHICLE_TYPE,TOTAL_SLOTS
5517342,Aparcamiento mixto. Orense,24 hour,avenida de Brasil,https://wikidata.org/entity/Q27212874,2,Cuatro Caminos,https://wikidata.org/entity/Q5824684,Tetuán,https://wikidata.org/entity/Q1773540,CAR,"129.0"
52114,Aparcamiento mixto. Pedro Zerolo 'antes denominado Vázquez de Mella',24 hour,plaza de Pedro Zerolo,https://wikidata.org/entity/Q6080146,1,Justicia,https://wikidata.org/entity/Q1992319,Centro,https://wikidata.org/entity/Q1763376,CAR,"113.0"
33440,Aparcamiento mixto. Plaza de Oriente,24 hour,Oriente square,https://wikidata.org/entity/Q2193218,9,Palacio,https://wikidata.org/entity/Q2136510,Centro,https://wikidata.org/entity/Q1763376,CAR,"242.0"
11544439,Aparcamiento mixto. Plaza de Santo Domingo,24 hour,Plaza de Santo Domingo,https://wikidata.org/entity/Q6080106,0,Palacio,https://wikidata.org/entity/Q2136510,Centro,https://wikidata.org/entity/Q1763376,CAR MOTORCYCLE,"336.0"
13466,Aparcamiento mixto. Plaza Mayor,24 hour,Main Square,https://wikidata.org/entity/Q1123493,1,Sol,https://wikidata.org/entity/Q2465181,Centro,https://wikidata.org/entity/Q1763376,CAR,"694.0"
36271,Aparcamiento mixto. Presidente Carmona,24 hour,Avenida del General Perón,https://wikidata.org/entity/Q26761632,21,Cuatro Caminos,https://wikidata.org/entity/Q5824684,Tetuán,https://wikidata.org/entity/Q1773540,CAR,"127.0"
13476,Aparcamiento mixto. Recoletos,24 hour,Paseo de Recoletos,https://wikidata.org/entity/Q2550870,4,Recoletos,https://wikidata.org/entity/Q3814551,Salamanca,https://wikidata.org/entity/Q1773521,CAR,"102.0"
24193,Aparcamiento mixto. República Dominicana,24 hour,PLAZA REPUBLICA DOMINICANA,,6,Nueva España,https://wikidata.org/entity/Q10338128,Chamartín,https://wikidata.org/entity/Q1766348,CAR,"209.0"
81828,Aparcamiento mixto. Reyes Magos,24 hour,PLAZA REYES MAGOS,,0,Niño Jesús,https://wikidata.org/entity/Q3773746,Retiro,https://wikidata.org/entity/Q2002296,CAR,"356.0"
167692,Aparcamiento mixto. San Cayetano,24 hour,PLAZA SAN CAYETANO,,1,La Guindalera,https://wikidata.org/entity/Q3814559,Salamanca,https://wikidata.org/entity/Q1773521,CAR,"222.0"
13515,Aparcamiento mixto. San Germán II (antes General Yagüe),24 hour,"Calle de Orense, Madrid",https://wikidata.org/entity/Q26761687,48,Castillejos,https://wikidata.org/entity/Q11913212,Tetuán,https://wikidata.org/entity/Q1773540,CAR,"419.0"
19053,Aparcamiento mixto. Sánchez Bustillo,24 hour,CALLE SANCHEZ BUSTILLO,,0,Embajadores,https://wikidata.org/entity/Q2449844,Centro,https://wikidata.org/entity/Q1763376,CAR,"131.0"
7416748,Aparcamiento mixto. Serrano I,24 hour,Serrano Street,https://wikidata.org/entity/Q5740879,84,Castellana,https://wikidata.org/entity/Q4781,Salamanca,https://wikidata.org/entity/Q1773521,CAR,"307.0"
7417028,Aparcamiento mixto. Serrano II,24 hour,Serrano Street,https://wikidata.org/entity/Q5740879,44,Recoletos,https://wikidata.org/entity/Q3814551,Salamanca,https://wikidata.org/entity/Q1773521,CAR,"379.0"
7417052,Aparcamiento mixto. Serrano III,24 hour,Serrano Street,https://wikidata.org/entity/Q5740879,2,Recoletos,https://wikidata.org/entity/Q3814551,Salamanca,https://wikidata.org/entity/Q1773521,CAR,"261.0"
13460,Aparcamiento mixto. Sevilla,24 hour,Alcalá Street,https://wikidata.org/entity/Q2424746,15,Sol,https://wikidata.org/entity/Q2465181,Centro,https://wikidata.org/entity/Q1763376,CAR,"649.0"
13458,Aparcamiento mixto. Velázquez - Ayala,24 hour,calle de Velázquez,https://wikidata.org/entity/Q20031523,47,Recoletos,https://wikidata.org/entity/Q3814551,Salamanca,https://wikidata.org/entity/Q1773521,CAR,"443.0"
13457,Aparcamiento mixto. Velázquez - Jorge Juan,24 hour,calle de Velázquez,https://wikidata.org/entity/Q20031523,1,Recoletos,https://wikidata.org/entity/Q3814551,Salamanca,https://wikidata.org/entity/Q1773521,CAR,"548.0"
183607,Aparcamiento mixto. Verdaguer y García,24 hour,CALLE VERDAGUER Y GARCIA,,2,San Pascual,https://wikidata.org/entity/Q165612,Ciudad Lineal,https://wikidata.org/entity/Q1763694,CAR,"83.0"
13452,Aparcamiento público. Almagro,24 hour,"Calle de Almagro, Madrid",https://wikidata.org/entity/Q26844339,24,Almagro,https://wikidata.org/entity/Q10954432,Chamberí,https://wikidata.org/entity/Q1763370,CAR,"463.0"
7393089,Aparcamiento público. Auditorio Nacional de Música (Príncipe de Vergara),24 hour,"Calle de Cartagena, Madrid",https://wikidata.org/entity/Q27038851,178,Ciudad Jardín,https://wikidata.org/entity/Q3773744,Chamartín,https://wikidata.org/entity/Q1766348,CAR,"376.0"
13473,Aparcamiento público. Descalzas,24 hour,PLAZA DESCALZAS,,3,Sol,https://wikidata.org/entity/Q2465181,Centro,https://wikidata.org/entity/Q1763376,CAR,"400.0"
13478,Aparcamiento público. Glorieta Puerta de Toledo,24 hour,Puerta de Toledo,https://wikidata.org/entity/Q2056515,0,Embajadores,https://wikidata.org/entity/Q2449844,Centro,https://wikidata.org/entity/Q1763376,CAR,"240.0"
13467,Aparcamiento público. Las Cortes,24 hour,plaza de las Cortes,https://wikidata.org/entity/Q5482884,13,Cortes,https://wikidata.org/entity/Q2535637,Centro,https://wikidata.org/entity/Q1763376,CAR,"480.0"
13449,Aparcamiento público. Luna - Tudescos,24 hour,Plaza de Santa María de Soledad Torres Acosta,https://wikidata.org/entity/Q6080095,2,Universidad,https://wikidata.org/entity/Q10387767,Centro,https://wikidata.org/entity/Q1763376,CAR,"481.0"
13469,Aparcamiento público. Marqués de Urquijo,24 hour,calle del Marqués de Urquijo,https://wikidata.org/entity/Q17421317,0,Argüelles,https://wikidata.org/entity/Q64874,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,CAR,"482.0"
13451,Aparcamiento público. Mostenses,24 hour,CALLE GARCIA MOLINAS,,4,Universidad,https://wikidata.org/entity/Q10387767,Centro,https://wikidata.org/entity/Q1763376,CAR,"361.0"
88141,Aparcamiento público. Museo de la Ciudad,24 hour,calle del Príncipe de Vergara,https://wikidata.org/entity/Q5741020,134,Ciudad Jardín,https://wikidata.org/entity/Q3773744,Chamartín,https://wikidata.org/entity/Q1766348,CAR,"147.0"
13450,Aparcamiento público. Olavide,24 hour,Plaza de Olavide,https://wikidata.org/entity/Q27947826,17,Trafalgar,https://wikidata.org/entity/Q10384027,Chamberí,https://wikidata.org/entity/Q1763370,CAR,"397.0"
13454,Aparcamiento público. Plaza de Colón,24 hour,Calle de Goya,https://wikidata.org/entity/Q28015873,2,Recoletos,https://wikidata.org/entity/Q3814551,Salamanca,https://wikidata.org/entity/Q1773521,CAR,"611.0"
13463,Aparcamiento público. Plaza de España,24 hour,plaza de España,https://wikidata.org/entity/Q1326261,1,Palacio,https://wikidata.org/entity/Q2136510,Centro,https://wikidata.org/entity/Q1763376,CAR,"800.0"
13472,Aparcamiento público. Plaza del Carmen (cerrado),24 hour,Plaza del Carmen,https://wikidata.org/entity/Q113986952,10,Sol,https://wikidata.org/entity/Q2465181,Centro,https://wikidata.org/entity/Q1763376,CAR,"450.0"
13474,Aparcamiento público. Plaza del Rey,24 hour,Plaza del Rey,https://wikidata.org/entity/Q16620311,1,Justicia,https://wikidata.org/entity/Q1992319,Centro,https://wikidata.org/entity/Q1763376,CAR,"170.0"
11750494,Aparcamiento público. San Epifanio,24 hour,calle de San Epifanio,https://wikidata.org/entity/Q118847930,9,Imperial,https://wikidata.org/entity/Q3773740,Arganzuela,https://wikidata.org/entity/Q2000929,CAR,"501.0"
13456,Aparcamiento público. Santa Ana,24 hour,Plaza de Santa Ana,https://wikidata.org/entity/Q740210,0,Cortes,https://wikidata.org/entity/Q2535637,Centro,https://wikidata.org/entity/Q1763376,CAR,"325.0"
10737574,Aparcamiento público. Usera,24 hour,CALLE AMPARO USERA,,46,Moscardó,https://wikidata.org/entity/Q11937679,Usera,https://wikidata.org/entity/Q953368,CAR,"36.0"
13468,Aparcamiento público. Velázquez - Juan Bravo,24 hour,calle de Velázquez,https://wikidata.org/entity/Q20031523,88,Castellana,https://wikidata.org/entity/Q4781,Salamanca,https://wikidata.org/entity/Q1773521,CAR,"371.0"
13453,Aparcamiento público. Villa de París,24 hour,plaza de la Villa de París,https://wikidata.org/entity/Q6080233,1,Justicia,https://wikidata.org/entity/Q1992319,Centro,https://wikidata.org/entity/Q1763376,CAR MOTORCYCLE,"171.0"
13468,Aparcamiento público. Velázquez - Juan Bravo,24 hour,calle de Velázquez,https://wikidata.org/entity/Q20031523,88,Castellana,https://wikidata.org/entity/Q4781,Salamanca,https://wikidata.org/entity/Q1773521,CAR,"371.0"
13453,Aparcamiento público. Villa de París,24 hour,plaza de la Villa de París,https://wikidata.org/entity/Q6080233,1,Justicia,https://wikidata.org/entity/Q1992319,Centro,https://wikidata.org/entity/Q1763376,CAR MOTORCYCLE,"171"
