ID,NAME,SCHEDULE,STREET_NAME,STRET_NUMBER,NEIGHBOURHOOD,DISTRICT,VEHICLE_TYPE,TOTAL_SLOTS
183607,Aparcamiento mixto. Verdaguer y García,24 hour,CALLE VERDAGUER Y GARCIA,2,SAN PASCUAL,CIUDAD LINEAL,CAR,83.0
13452,Aparcamiento público. Almagro,24 hour,CALLE ALMAGRO,24,ALMAGRO,CHAMBERI,CAR,463.0
7393089,Aparcamiento público. Auditorio Nacional de Música (Príncipe de Vergara),24 hour,CALLE CARTAGENA,178,CIUDAD JARDIN,CHAMARTIN,CAR,376.0
13473,Aparcamiento público. Descalzas,24 hour,PLAZA DESCALZAS,3,SOL,CENTRO,CAR,400.0
13478,Aparcamiento público. Glorieta Puerta de Toledo,24 hour,GLORIETA PUERTA DE TOLEDO,0,EMBAJADORES,CENTRO,CAR,240.0
13467,Aparcamiento público. Las Cortes,24 hour,PLAZA CORTES,13,CORTES,CENTRO,CAR,480.0
13449,Aparcamiento público. Luna - Tudescos,24 hour,PLAZA SANTA MARIA SOLEDAD TORRES ACOSTA,2,UNIVERSIDAD,CENTRO,CAR,481.0
13469,Aparcamiento público. Marqués de Urquijo,24 hour,CALLE MARQUES DE URQUIJO,0,ARGUELLES,MONCLOA-ARAVACA,CAR,482.0
13451,Aparcamiento público. Mostenses,24 hour,CALLE GARCIA MOLINAS,4,UNIVERSIDAD,CENTRO,CAR,361.0
88141,Aparcamiento público. Museo de la Ciudad,24 hour,CALLE PRINCIPE DE VERGARA,134,CIUDAD JARDIN,CHAMARTIN,CAR,147.0
13450,Aparcamiento público. Olavide,24 hour,PLAZA OLAVIDE,17,TRAFALGAR,CHAMBERI,CAR,397.0
13454,Aparcamiento público. Plaza de Colón,24 hour,CALLE GOYA,2,RECOLETOS,SALAMANCA,CAR,611.0
13463,Aparcamiento público. Plaza de España,24 hour,PLAZA ESPAÑA,1,PALACIO,CENTRO,CAR,800.0
13472,Aparcamiento público. Plaza del Carmen (cerrado),24 hour,PLAZA CARMEN,10,SOL,CENTRO,CAR,450.0
13474,Aparcamiento público. Plaza del Rey,24 hour,PLAZA REY,1,JUSTICIA,CENTRO,CAR,170.0
11750494,Aparcamiento público. San Epifanio,24 hour,CALLE SAN EPIFANIO,9,IMPERIAL,ARGANZUELA,CAR,501.0
13456,Aparcamiento público. Santa Ana,24 hour,PLAZA SANTA ANA,0,CORTES,CENTRO,CAR,325.0
10737574,Aparcamiento público. Usera,24 hour,CALLE AMPARO USERA,46,MOSCARDO,USERA,CAR,36.0
13468,Aparcamiento público. Velázquez - Juan Bravo,24 hour,CALLE VELAZQUEZ,88,CASTELLANA,SALAMANCA,CAR,371.0
13453,Aparcamiento público. Villa de París,24 hour,PLAZA VILLA DE PARIS,1,JUSTICIA,CENTRO,CAR MOTORCYCLE,171.0
13468,Aparcamiento público. Velázquez - Juan Bravo,24 hour,CALLE VELAZQUEZ,88,CASTELLANA,SALAMANCA,CAR,371.0
13453,Aparcamiento público. Villa de París,24 hour,PLAZA VILLA DE PARIS,1,JUSTICIA,CENTRO,CAR MOTORCYCLE,171
