District,ONS code,Region,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08
East Hertfordshire,26UD,Eastern,355,393,,473,286,165,70,37.0
East Lindsey,32UC,E Midlands,226,359,424,438,,122,69,0.0
East Northamptonshire,34UD,E Midlands,191,257,381,317,158,122,75,
East Riding of Yorkshire UA,00FB,Yorkshire/Humber,227,316,488,432,370,350,337,286.0
East Staffordshire,41UC,W Midlands,164,240,347,277,181,141,99,50.0
Eastbourne,21UC,S East,631,,,555,301,262,184,
Eastleigh,24UD,S East,200,225,,169,,,48,21.0
Eden,16UF,North West,60,35,,23,27,21,15,6.0
Ellesmere Port and Neston,13UE,North West,,,193,,,,,0.0
Elmbridge,43UB,S East,,,593,793,,247,173,51.0
Enfield,00AK,London,4711,6347,4973,3318,2368,,1434,1722
Epping Forest,22UH,Eastern,1838,,838,619,,145,85,58.0
Epsom and Ewell,43UC,S East,360,360,,186,251,105,107,122.0
Erewash,17UG,E Midlands,270,324,304,149,,82,48,52.0
Exeter,18UC,S West,,1317,1094,335,,193,163,
Fareham,24UE,S East,136,238,,141,,77,67,24.0
Fenland,12UD,Eastern,176,,,,142,203,29,20.0
Forest Heath,42UC,Eastern,145,680,,,,198,193,55.0
Forest of Dean,23UD,S West,186,360,,360,150,159,55,37.0
Fylde,30UF,North West,11,45,,98,,44,36,0.0
Gateshead UA,00CH,North East,149,143,,110,83,52,54,59.0
Gedling,37UE,E Midlands,,838,,656,194,149,72,28.0
Gloucester,23UE,S West,700,896,1200,685,1467,615,226,54.0
Gosport,24UF,S East,496,545,355,293,214,146,153,99.0
Gravesham,29UG,S East,884,942,1035,547,390,332,168,73.0
Great Yarmouth,33UD,Eastern,255,400,,310,568,383,165,
Greenwich,00AL,London,3120,4200,4429,2653,1879,1972,1665,556.0
Guildford,43UD,S East,724,934,,785,279,169,125,54.0
Hackney,00AM,London,2700,4066,3609,1540,,1531,1354,713.0
Halton UA,00ET,North West,180,189,,201,,451,301,204.0
Hambleton,36UC,Yorkshire/Humber,96,40,,45,25,37,50,19.0
Hammersmith and Fulham,00AN,London,1430,1473,2188,1629,1296,,,
Harborough,31UD,E Midlands,550,480,96,220,,,49,
Haringey,00AP,London,6500,4560,5900,1950,1594,1143,829,564.0
Harlow,22UJ,Eastern,1240,1310,1431,1650,474,299,265,176.0
Harrogate,36UD,Yorkshire/Humber,143,262,355,355,126,127,43,137.0
Harrow,00AQ,London,1914,2249,2650,1919,,1600,678,415.0
Hart,24UG,S East,256,648,,155,120,90,48,18.0
Hartlepool UA,00EB,North East,55,87,230,455,293,511,222,145.0
Hastings,21UD,S East,1100,1148,1010,689,,,281,
Havant,24UH,S East,897,900,,301,174,262,192,134.0
Havering,00AR,London,1250,3126,2086,1584,,791,386,273.0
Hertsmere,26UE,Eastern,534,650,,478,121,123,18,38.0
High Peak,17UH,E Midlands,87,82,118,66,60,35,38,18.0
Hillingdon,00AS,London,2286,3128,3741,807,310,245,214,77.0
Hinckley and Bosworth,31UE,E Midlands,353,429,332,174,65,35,,
Horsham,45UF,S East,173,333,380,,173,129,99,
Hounslow,00AT,London,2247,3118,3125,2207,1448,436,421,360.0
Huntingdonshire,12UE,Eastern,,,908,1230,,242,143,77.0
Hyndburn,30UG,North West,85,128,148,102,85,92,55,44.0
Ipswich,42UD,Eastern,785,1327,,1069,1510,615,268,140.0
Isle of Wight UA,00MW,S East,,345,517,321,225,250,215,163.0
Isles of Scilly,15UH,S West,0,0,0,0,0,0,0,0.0
Islington,00AU,London,2619,3643,2748,1703,927,598,295,241.0
Kennet,46UB,S West,54,146,,241,73,69,47,22.0
Kensington and Chelsea,00AW,London,195,232,265,209,138,,,
Kerrier,15UD,S West,232,357,433,344,281,277,230,157.0
Kettering,34UE,E Midlands,350,,,,,186,100,
King's Lynn and West Norfolk,33UE,Eastern,271,457,580,,,,142,
Kingston upon Thames,00AX,London,739,2159,3053,780,,400,360,191.0
Kirklees UA,00CZ,Yorkshire/Humber,287,310,635,396,674,561,276,209.0
Knowsley,00BX,North West,92,,,400,,100,51,21.0
Lambeth,00AY,London,3308,3775,3577,1669,484,,,
Lancaster,30UH,North West,,124,250,200,,89,64,27.0
Leeds UA,00DA,Yorkshire/Humber,877,1707,2190,1374,,455,324,347.0
Leicester UA,00FN,E Midlands,1416,1434,1758,2834,967,429,292,166.0
Lewes,21UF,S East,470,,,1038,197,237,150,
Lewisham,00AZ,London,5000,4671,3554,1996,,1553,1082,664.0
Lichfield,41UD,W Midlands,271,,,122,50,53,56,43.0
Lincoln,32UD,E Midlands,136,227,304,,84,76,54,46.0
Liverpool,00BY,North West,286,,,1327,902,1240,723,761.0
Luton UA,00KA,Eastern,2403,4876,5045,4043,2097,1361,891,497.0
Macclesfield,13UG,North West,114,141,238,198,83,83,49,24.0
Maidstone,29UH,S East,1015,1386,1647,475,184,115,84,47.0
Maldon,22UK,Eastern,657,,253,181,,92,42,25.0
Malvern Hills,47UC,W Midlands,,,,,35,41,13,0.0
Manchester,00BN,North West,890,1102,1026,1350,182,234,224,178.0
Mansfield,37UF,E Midlands,650,410,496,,,191,167,126.0
Medway UA,00LC,S East,1157,2512,2618,,3154,2003,1093,579.0
Melton,31UG,E Midlands,30,20,51,41,121,24,6,0.0
Mendip,40UB,S West,250,396,622,,,111,57,56.0
Merton,00BA,London,1683,2140,2165,2256,3036,1869,1337,635.0
Mid Bedfordshire,09UC,Eastern,584,620,620,546,102,93,116,42.0
Mid Devon,18UD,S West,376,339,,159,,76,95,13.0
Mid Suffolk,42UE,Eastern,145,205,477,181,127,37,54,82.0
Mid Sussex,45UG,S East,347,370,498,377,164,315,104,69.0
Middlesbrough UA,00EC,North East,,470,,654,260,,66,16.0
Milton Keynes UA,00MG,S East,,1987,,1023,,694,631,499.0
Mole Valley,43UE,S East,621,497,523,312,715,259,112,26.0
New Forest,24UJ,S East,474,1246,1042,492,212,213,147,111.0
Newark and Sherwood,37UG,E Midlands,289,246,,179,101,85,66,22.0
Newcastle upon Tyne UA,00CJ,North East,,389,710,545,,293,176,96.0
Newcastle-under-Lyme,41UE,W Midlands,150,150,,121,,72,41,72.0
Newham,00BB,London,6704,8117,3105,2601,,2822,2161,1501
North Cornwall,15UE,S West,266,,,192,,197,66,84.0
North Devon,18UE,S West,33,192,383,343,,,117,49.0
North Dorset,19UE,S West,60,,135,138,100,111,39,33.0
North East Derbyshire,17UJ,E Midlands,70,84,114,84,52,,29,26.0
North East Lincolnshire UA,00FC,Yorkshire/Humber,267,327,921,1210,580,688,257,114.0
North Hertfordshire,26UF,Eastern,332,587,,493,612,116,57,35.0
North Kesteven,32UE,E Midlands,101,139,160,385,778,70,45,
North Lincolnshire UA,00FD,Yorkshire/Humber,135,192,313,237,149,232,110,31.0
North Norfolk,33UF,Eastern,66,138,145,104,,,29,0.0
North Shropshire,39UC,W Midlands,,134,196,,,57,48,14.0
North Somerset UA,00HC,S West,570,884,,323,308,258,159,107.0
North Tyneside UA,00CK,North East,451,168,,181,319,301,226,155.0
North Warwickshire,44UB,W Midlands,133,150,255,,,24,21,
North West Leicestershire,31UH,E Midlands,267,326,418,181,57,104,,
North Wiltshire,46UC,S West,,,,,50,141,44,21.0
Northampton,34UF,E Midlands,1682,2061,,1471,,,436,
Norwich,33UG,Eastern,351,590,,566,,,276,
Nottingham UA,00FY,E Midlands,586,1066,2728,1226,2502,,379,261.0
Nuneaton and Bedworth,44UC,W Midlands,183,,502,333,192,101,81,53.0
Oadby and Wigston,31UJ,E Midlands,58,,63,,87,48,14,
Oldham,00BP,North West,310,,676,700,,,157,
Oswestry,39UD,W Midlands,129,56,123,,34,33,10,8.0
Oxford,38UC,S East,1455,1560,1534,2572,2083,1919,1081,339.0
Pendle,30UJ,North West,550,392,448,350,88,64,39,28.0
Penwith,15UF,S West,,,,327,342,263,151,91.0
Peterborough UA,00JA,Eastern,,2309,,2007,1194,1280,519,360.0
Plymouth UA,00HG,S West,1779,2040,3861,2218,,,535,294.0
Poole UA,00HP,S West,649,978,,622,204,177,106,82.0
Portsmouth UA,00MR,S East,826,,1133,818,659,734,493,289.0
Preston,30UK,North West,135,135,247,220,,42,64,
Purbeck,19UG,S West,89,194,185,156,34,45,22,16.0
Reading UA,00MC,S East,1090,1563,1498,1905,299,238,129,797.0
Redbridge,00BC,London,1562,2219,2005,1152,,2526,,
Redcar and Cleveland UA,00EE,North East,,,,1425,,319,120,75.0
Redditch,47UD,W Midlands,,519,,1152,,234,188,141.0
Reigate and Banstead,43UF,S East,718,558,,525,269,227,64,84.0
Restormel,15UG,S West,266,389,,479,261,168,114,282.0
Ribble Valley,30UL,North West,16,35,41,35,20,12,14,4.0
Richmond upon Thames,00BD,London,1201,1201,970,757,494,306,246,20.0
Richmondshire,36UE,Yorkshire/Humber,9,33,85,70,,41,41,7.0
Rochdale,00BQ,North West,,,495,,277,253,148,
Rochford,22UL,Eastern,,,320,,,49,33,
Rossendale,30UM,North West,180,174,275,190,506,112,42,29.0
Rother,21UG,S East,336,288,,280,,,97,
Rotherham UA,00CF,Yorkshire/Humber,150,410,708,533,315,260,248,245.0
Rugby,44UD,W Midlands,,,,225,149,129,83,54.0
Runnymede,43UG,S East,609,659,,363,144,207,168,91.0
Rushcliffe,37UJ,E Midlands,181,147,218,478,197,83,29,10.0
Rushmoor,24UL,S East,375,571,494,216,119,118,69,49.0
Rutland UA,00FP,E Midlands,100,40,62,60,28,39,32,25.0
Ryedale,36UF,Yorkshire/Humber,45,100,53,60,10,19,12,16.0
Salford,00BR,North West,,,,433,,,,33.0
Salisbury,46UD,S West,354,400,,295,114,90,70,80.0
Sandwell UA,00CS,W Midlands,,,625,568,,321,154,50.0
Scarborough,36UG,Yorkshire/Humber,543,620,507,,,81,80,20.0
Sedgefield,20UG,North East,80,90,100,351,186,196,22,19.0
Sedgemoor,40UC,S West,377,619,897,552,244,141,134,52.0
Sefton,00CA,North West,128,194,202,176,42,141,88,19.0
Selby,36UH,Yorkshire/Humber,120,,132,77,45,36,25,8.0
Sevenoaks,29UK,S East,498,532,1057,348,163,114,90,
Sheffield UA,00CG,Yorkshire/Humber,100,1421,1110,847,547,401,261,99.0
Shepway,29UL,S East,733,859,815,575,179,144,147,57.0
Shrewsbury and Atcham,39UE,W Midlands,86,110,135,104,79,88,34,15.0
Slough UA,00MD,S East,669,1665,,855,,371,300,129.0
Solihull UA,00CT,W Midlands,275,341,571,374,1047,,695,553.0
South Bedfordshire,09UE,Eastern,500,1800,1868,1500,,442,156,81.0
South Buckinghamshire,11UE,S East,,435,364,157,158,51,11,4.0
South Cambridgeshire,12UG,Eastern,100,547,509,552,212,189,112,74.0
South Derbyshire,17UK,E Midlands,154,325,251,141,31,22,24,11.0
South Gloucestershire UA,00HD,S West,987,1185,,854,706,391,252,268.0
South Hams,18UG,S West,300,235,,282,136,86,60,38.0
