idClienteEprinsa,AñoMes,Identificador,idValue,NumLámparasTotal,NumLámparasMercurio,NumLámparasHalogenuros,NumLámparasFluorescentes,NumLámparasSodio,NumLámparasLED,NumLámparasOtros,Tipo,same_as_wikidata_type_of_electronic,Dirección,Descripción,IdSiguiente,CoordenadaX,UTM coordinates,CoordenadaY
1009,202406,NDA.ENE.007.1814815,1814815,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Avenida de la Universidad, 26",Puntos de luz - BELMEZ,1814815,306900,"30T 306900 4237846","4237846"
1009,202406,NDA.ENE.007.1814037,1814037,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Río, 42",Puntos de luz - BELMEZ,1814037,306701,"30T 306701 4238078","4238078"
1009,202406,NDA.ENE.007.1814614,1814614,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1814614,306967,"30T 306967 4237660","4237660"
1009,202406,NDA.ENE.007.1814697,1814697,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Velázquez {Doña Rama}, 36",Puntos de luz - BELMEZ,1814697,300917,"30T 300917 4232931","4232931"
1009,202406,NDA.ENE.007.1814068,1814068,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1814068,307348,"30T 307348 4238046","4238046"
1009,202406,NDA.ENE.007.1814101,1814101,955,0,917,0,0,38,0,LED lamp,https://wikidata.org/entity/Q1553201,,Puntos de luz - BELMEZ,1814101,307303,"30T 307303 4238292","4238292"
1009,202406,NDA.ENE.007.1814779,1814779,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Santa María, 74",Puntos de luz - BELMEZ,1814779,306349,"30T 306349 4238428","4238428"
1009,202406,NDA.ENE.007.1814598,1814598,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1814598,307279,"30T 307279 4238010","4238010"
1009,202406,NDA.ENE.007.1814605,1814605,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1814605,307279,"30T 307279 4238044","4238044"
1009,202406,NDA.ENE.007.1814693,1814693,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Velázquez {Doña Rama}, 13",Puntos de luz - BELMEZ,1814693,301024,"30T 301024 4232912","4232912"
1009,202406,NDA.ENE.007.1814800,1814800,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Avenida de la Universidad, 6",Puntos de luz - BELMEZ,1814800,306881,"30T 306881 4237979","4237979"
1009,202406,NDA.ENE.007.1814142,1814142,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Pedroche, 1",Puntos de luz - BELMEZ,1814142,306768,"30T 306768 4238348","4238348"
1009,202406,NDA.ENE.007.1814292,1814292,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Bailén, 2",Puntos de luz - BELMEZ,1814292,307006,"30T 307006 4238126","4238126"
1009,202406,NDA.ENE.007.1814129,1814129,955,0,917,0,0,38,0,LED lamp,https://wikidata.org/entity/Q1553201,"Calle Peñarroya-Pueblonuevo, 30",Puntos de luz - BELMEZ,1814129,307331,"30T 307331 4238174","4238174"
1009,202406,NDA.ENE.007.1813911,1813911,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Fuente Obejuna, 42",Puntos de luz - BELMEZ,1813911,307508,"30T 307508 4238186","4238186"
1009,202406,NDA.ENE.007.1814174,1814174,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Cuesta Paseo, 6",Puntos de luz - BELMEZ,1814174,306688,"30T 306688 4237968","4237968"
1009,202406,NDA.ENE.007.1814831,1814831,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Lagares, 4",Puntos de luz - BELMEZ,1814831,307304,"30T 307304 4231697","4231697"
1009,202406,NDA.ENE.007.1813920,1813920,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1813920,306744,"30T 306744 4237835","4237835"
1009,202406,NDA.ENE.007.1814554,1814554,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Real {Doña Rama}, 31",Puntos de luz - BELMEZ,1814554,300946,"30T 300946 4232860","4232860"
1009,202406,NDA.ENE.007.1814629,1814629,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Perchel, 14",Puntos de luz - BELMEZ,1814629,299453,"30T 299453 4235770","4235770"
1009,202406,NDA.ENE.007.1814147,1814147,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Córdoba, 7",Puntos de luz - BELMEZ,1814147,306813,"30T 306813 4238316","4238316"
1009,202406,NDA.ENE.007.1814343,1814343,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Córdoba, 53",Puntos de luz - BELMEZ,1814343,307005,"30T 307005 4238175","4238175"
1009,202406,NDA.ENE.007.1814421,1814421,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Plaza Andalucía, 5",Puntos de luz - BELMEZ,1814421,306926,"30T 306926 4238428","4238428"
1009,202406,NDA.ENE.007.1813881,1813881,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1813881,306760,"30T 306760 4237774","4237774"
